FECHA ASAMBLEA,EMISOR,NEMOTECNICO,MODO DE PAGO,MONEDA,FECHA INICIAL,FECHA FINAL Y DE PAGO,VALOR TOTAL DEL DIVIDENDO,VALOR CUOTA,DESCRIPCION PAGO PDU,MONTO TOTAL ENTREGADO EN DIVIDENDOS,FECHA INGRESO,SECTOR
2020-03-13 0:00:00,BANCOLOMBIA S.A.,BCOLOMBIA,EFECTIVO / CASH,COP,2020-03-26 0:00:00,2020-04-01 0:00:00,1638,762,DIVIDENDO ORDINARIO DE $1168 POR ACCIÓN PAGADERO $292 EL 1 DE ABRIL. 1 DE JULIO. 1 DE OCTUBRE DE 2020 Y 4 DE ENERO DE 2021 Y DIVIDENDO EXTRAORDINARIO $ 470 POR ACCIÒN EL 1 DE ABRIL DE 2020,1.58E+12,#############,FINANCIERO
2020-03-13 0:00:00,BANCOLOMBIA S.A.,BCOLOMBIA,EFECTIVO / CASH,COP,2020-06-24 0:00:00,2020-07-01 0:00:00,1638,292,DIVIDENDO ORDINARIO DE $1168 POR ACCIÓN PAGADERO $292 EL 1 DE ABRIL. 1 DE JULIO. 1 DE OCTUBRE DE 2020 Y 4 DE ENERO DE 2021 Y DIVIDENDO EXTRAORDINARIO $ 470 POR ACCIÒN EL 1 DE ABRIL DE 2020,1.58E+12,#############,FINANCIERO
2020-02-20 0:00:00,COLTEJER S.A.,COLTEJER,,NO PAGA,,,,,NO DECRETÓ DIVIDENDO,,,
2020-02-28 0:00:00,BANCO BILBAO VIZCAYA ARTENTARIA COLOMBIA S.A.,BBVACOL,EFECTIVO / CASH,COP,2020-06-05 0:00:00,2020-06-11 0:00:00,25.66,12.83,SE DECLARA DIVIDENDO EN EFECTIVO DE $25.66 POR ACCION PAGADERO EN DOS CUOTAS DE $12.83 EL 11 DE JUNIO DE 2020 Y $12.83 EL 08 DE OCTUBRE DE 2020,3.57E+11,,
2020-02-28 0:00:00,BANCO BILBAO VIZCAYA ARTENTARIA COLOMBIA S.A.,BBVACOL,EFECTIVO / CASH,COP,2020-10-02 0:00:00,2020-10-08 0:00:00,25.66,12.83,SE DECLARA DIVIDENDO EN EFECTIVO DE $25.66 POR ACCION PAGADERO EN DOS CUOTAS DE $12.83 EL 11 DE JUNIO DE 2020 Y $12.83 EL 08 DE OCTUBRE DE 2020,3.57E+11,,
2020-02-28 0:00:00,BANCO BILBAO VIZCAYA ARTENTARIA COLOMBIA S.A.,PFBBVACOL,EFECTIVO / CASH,COP,2020-06-05 0:00:00,2020-06-11 0:00:00,25.66,12.83,SE DECLARA DIVIDENDO EN EFECTIVO DE $25.66 POR ACCION PAGADERO EN DOS CUOTAS DE $12.83 EL 11 DE JUNIO DE 2020 Y $12.83 EL 08 DE OCTUBRE DE 2020,1.23E+10,,
2020-02-28 0:00:00,BANCO BILBAO VIZCAYA ARTENTARIA COLOMBIA S.A.,PFBBVACOL,EFECTIVO / CASH,COP,2020-10-02 0:00:00,2020-10-08 0:00:00,25.66,12.83,SE DECLARA DIVIDENDO EN EFECTIVO DE $25.66 POR ACCION PAGADERO EN DOS CUOTAS DE $12.83 EL 11 DE JUNIO DE 2020 Y $12.83 EL 08 DE OCTUBRE DE 2020,1.23E+10,,
2020-03-13 0:00:00,BANCOLOMBIA S.A.,BCOLOMBIA,EFECTIVO / CASH,COP,2020-09-25 0:00:00,2020-10-01 0:00:00,1638,292,DIVIDENDO ORDINARIO DE $1168 POR ACCIÓN PAGADERO $292 EL 1 DE ABRIL. 1 DE JULIO. 1 DE OCTUBRE DE 2020 Y 4 DE ENERO DE 2021 Y DIVIDENDO EXTRAORDINARIO $ 470 POR ACCIÒN EL 1 DE ABRIL DE 2020,1.58E+12,#############,FINANCIERO
2019-03-04 0:00:00,COMPAÑÍA DE EMPAQUES S.A.,EMPAQUES,EFECTIVO / CASH,COP,2020-04-21 0:00:00,2020-04-27 0:00:00,480,40,SE DECLARA DIVIDENDO ORDINARIO DE $40 POR ACCION Y POR MES ENTRE ABRIL DE 2020 Y MARZO DE 2021 PAGADEROS EL DIA 25 DEL MISMO MES,5.93E+09,,
2019-03-04 0:00:00,COMPAÑÍA DE EMPAQUES S.A.,EMPAQUES,EFECTIVO / CASH,COP,2020-05-19 0:00:00,2020-05-26 0:00:00,480,40,SE DECLARA DIVIDENDO ORDINARIO DE $40 POR ACCION Y POR MES ENTRE ABRIL DE 2020 Y MARZO DE 2021 PAGADEROS EL DIA 25 DEL MISMO MES,5.93E+09,,
